iter	RMSE
0	292.1768072
1	291.3239496
2	290.5290652
3	289.4666829
4	288.5757621
5	287.4340849
6	286.6978047
7	286.0169551
8	284.8946102
9	284.1711688
10	283.2542555
11	282.5610952
12	281.8669268
13	281.1788531
14	280.4591922
15	279.6199785
16	278.9644114
17	278.5720295
18	277.9652419
19	277.4620011
20	276.5170908
21	275.7286309
22	274.9911925
23	274.3245662
24	273.9514278
25	273.3598959
26	272.7178814
27	272.3651849
28	271.9337581
29	271.4077054
30	271.0987988
31	270.3553653
32	269.7421823
33	269.4208701
34	268.830099
35	268.4103522
36	267.6981379
37	267.3667282
38	266.5193132
39	266.0746002
40	265.6453732
41	265.2308466
42	264.776882
43	264.2035171
44	263.5631074
45	263.3685351
46	263.0233772
47	262.1781054
48	261.8026484
49	261.1987596
50	260.5825296
51	260.3130219
52	259.8062993
53	259.4899098
54	259.1500884
55	258.5917611
56	257.8671857
57	257.7645634
58	257.0422315
59	256.8243483
60	256.5059954
61	255.8928356
62	255.2224411
63	254.6925599
64	254.3074404
65	254.0760304
66	253.6063551
67	253.3714771
68	252.9182111
69	252.4188393
70	251.9260354
71	251.6038044
72	251.2560455
73	250.995289
74	250.8008997
75	250.4763675
76	250.0469051
77	249.8489114
78	249.6841264
79	249.4241058
80	248.9001276
81	248.6729719
82	248.2877098
83	247.9457073
84	247.6999616
85	247.3962561
86	247.1874227
87	246.6960852
88	246.3474022
89	245.8983261
90	245.674089
91	245.3838927
92	245.3191232
93	244.8070971
94	244.5914674
95	244.5894703
96	244.0720671
97	243.60407
98	243.4275405
99	243.1730224
100	243.1645345
101	242.8596844
102	242.3948469
103	241.7096478
104	241.3262617
105	241.004511
106	240.6660103
107	240.3891023
108	240.147859
109	239.9516036
110	239.7052584
111	239.4646839
112	239.1834671
113	238.8026853
114	238.4783154
115	238.2962164
116	238.076125
117	237.6339842
118	237.1393739
119	236.9971657
120	236.5203464
121	236.1272267
122	236.061748
123	235.8620226
124	235.5733299
125	235.066848
126	234.663826
127	234.2345565
128	233.851433
129	233.4185812
130	233.1244212
131	232.7264079
132	232.4019289
133	232.2103331
134	231.7575698
135	231.4067528
136	231.1653265
137	230.7783196
138	230.4946693
139	230.0359625
140	229.6399088
141	229.2146653
142	228.8331193
143	228.6639134
144	228.6615294
145	228.3939698
146	228.260022
147	228.0067903
148	227.8745359
